DHSID_EA,most_relevant_sentences
RW-2005-5#-00000171,"The reservoir is also expected to provide irrigation water to an estimated of land, downstream of the dam site. History In June 2018, the government of Rwanda, through Energy Development Corporation Limited (EDCL), a subsidiary of Rwanda Energy Group (REG), agreed with Sinohydro for the latter to build this multipurpose dam to (a) store irrigation water (b) to regulate flooding downstream of this dam and (c) generate 43"
RW-2005-5#-00000040,The river is the main water reserve for the people and the cattle in the large dry land. The weak river network constitutes a serious handicap to responding to the needs of water for people and animals
RW-2015-7#-00000064,"Its lower course provides water for the dry areas of Nyagatare, facilitating irrigation of rice fields and other crops as well as providing water for cattle in this area for cattle farming"
RW-2015-7#-00000064,"Its drainage basin covers 3500 km2 and spans parts of Gicumbi, Gatsibo and Nyagatare District Districts in Rwanda, and Kabale and Ntungamo Districts in Uganda"
RW-2010-6#-00000103,"Infrastructure thumb|right|Rural water pump|alt=Photograph depicting one adult and five children filling jerrycans at a rural metal water pump with concrete base, at the bottom of a steep rocky hillside The Rwandan government prioritised funding of water supply development during the 2000s, significantly increasing its share of the national budget. The country's water infrastructure consists of urban and rural systems that deliver water to the public, mainly through standpipes in rural areas and private connections in urban areas"
RW-2005-5#-00000251,"The mountain is an important source of mineral water, supplying both the Huye bottled water brand sold throughout Rwanda and the nearby Maraba fair trade coffee plant, whose washing station receives Huye water via a pipeline built using ACDI/VOCA funding in 2002"
RW-2015-7#-00000064,"Its lower course provides water for the dry areas of Nyagatare, facilitating irrigation of rice fields and other crops as well as providing water for cattle in this area for cattle farming"
RW-2015-7#-00000064,"Its drainage basin covers 3500 km2 and spans parts of Gicumbi, Gatsibo and Nyagatare District Districts in Rwanda, and Kabale and Ntungamo Districts in Uganda"
RW-2010-6#-00000423,"See also Kibuye Power Plant 1 KivuWatt Power Station Kivu 56 Power Station Symbion Thermal Power Station References External links Website of Rwanda Development Board Category:Energy infrastructure in Rwanda Category:Western Province, Rwanda Category:Proposed energy infrastructure in Africa Category:Natural gas in Rwanda Category:Liquefied natural gas plants"
RW-2015-7#-00000064,"Its lower course provides water for the dry areas of Nyagatare, facilitating irrigation of rice fields and other crops as well as providing water for cattle in this area for cattle farming"
RW-2015-7#-00000064,"Its drainage basin covers 3500 km2 and spans parts of Gicumbi, Gatsibo and Nyagatare District Districts in Rwanda, and Kabale and Ntungamo Districts in Uganda"
RW-2010-6#-00000423,"See also Kibuye Power Plant 1 KivuWatt Power Station Kivu 56 Power Station Symbion Thermal Power Station References External links Website of Rwanda Development Board Category:Energy infrastructure in Rwanda Category:Western Province, Rwanda Category:Proposed energy infrastructure in Africa Category:Natural gas in Rwanda Category:Liquefied natural gas plants"
RW-2015-7#-00000157,Lake Ruhondo receives water from other streams and drains to the southwest through the River Mukungwa which is a tributary of River Nyabarongo
RW-2010-6#-00000103,"Infrastructure thumb|right|Rural water pump|alt=Photograph depicting one adult and five children filling jerrycans at a rural metal water pump with concrete base, at the bottom of a steep rocky hillside The Rwandan government prioritised funding of water supply development during the 2000s, significantly increasing its share of the national budget. The country's water infrastructure consists of urban and rural systems that deliver water to the public, mainly through standpipes in rural areas and private connections in urban areas"
RW-2005-5#-00000251,"The mountain is an important source of mineral water, supplying both the Huye bottled water brand sold throughout Rwanda and the nearby Maraba fair trade coffee plant, whose washing station receives Huye water via a pipeline built using ACDI/VOCA funding in 2002"
RW-2015-7#-00000064,"Its lower course provides water for the dry areas of Nyagatare, facilitating irrigation of rice fields and other crops as well as providing water for cattle in this area for cattle farming"
RW-2015-7#-00000064,"Its drainage basin covers 3500 km2 and spans parts of Gicumbi, Gatsibo and Nyagatare District Districts in Rwanda, and Kabale and Ntungamo Districts in Uganda"
RW-2010-6#-00000423,"See also Kibuye Power Plant 1 KivuWatt Power Station Kivu 56 Power Station Symbion Thermal Power Station References External links Website of Rwanda Development Board Category:Energy infrastructure in Rwanda Category:Western Province, Rwanda Category:Proposed energy infrastructure in Africa Category:Natural gas in Rwanda Category:Liquefied natural gas plants"
RW-2005-5#-00000171,"The reservoir is also expected to provide irrigation water to an estimated of land, downstream of the dam site. History In June 2018, the government of Rwanda, through Energy Development Corporation Limited (EDCL), a subsidiary of Rwanda Energy Group (REG), agreed with Sinohydro for the latter to build this multipurpose dam to (a) store irrigation water (b) to regulate flooding downstream of this dam and (c) generate 43"
RW-2015-7#-00000029,"jpg|thumb|Kigali's first European-style house built for Richard Kandt, now the Kandt House Museum of Natural History|alt=Photograph of the house with the driveway and a smaller outhouse visible]] The founding of Kigali is generally dated to 1907, when German administrator and explorer Richard Kandt was appointed as the first resident of Rwanda, and established the city as the headquarters. Buildings that were heavily damaged during the fighting have been demolished, much of the city has been rebuilt, and modern office buildings and infrastructure now exist across the city. The Nyabugogo is fed by various smaller streams throughout the city, and its drainage basin contains most of Kigali's territory, other than areas in the south which outflow directly to the Nyabarongo. The rivers are flanked by wetlands, which act as a water store and flood protection for the city, although these are under threat from agriculture and development. Challenges for the sector include the high cost of importing raw materials into a land-locked country, as well as substandard infrastructure and a lack of skilled workers. Under the previous system, in effect since 2002, power was significantly devolved to the districts which were led by their own mayors, managing infrastructure and levying taxes, around 30 per cent of which were passed to the city-wide authority. All able-bodied people between 18 and 65 are expected to carry out community tasks such as cleaning streets or building homes for vulnerable people. Infrastructure Transportation thumb|Dual carriageway on the approach to Kigali CBD|alt=Photograph of a street, including buildings, vehicles and pedestrians The Rwandan government has increased investment in the transport infrastructure of Rwanda since the 1994 genocide, with aid from the United States, European Union, Japan, and others. A combination of below average rainfall and human activity, including the draining of the Rugezi wetlands for cultivation and grazing, caused the two lakes' water levels to fall from 1990 onwards; by 2004 levels were reduced by 50 per cent, leading to a sharp drop in output from the power stations. Under the Twubakane Decentralisation and Health Project, responsibility for primary healthcare has moved from the national level to district level. The government has devolved the financing and management of healthcare to local communities, through a system of health insurance providers called mutuelles de santé"
