DHSID_EA,relevance_score,most_relevant_sentences
SZ-2006-5#-00000140,1.0,"The upgrade included a construction of: Two FIFA offices at 58m², Two more player changing rooms -upgrading from two to four, Doping room, Referee dressing room, Player’s and public first aid room, Media provision complete with temporary studio and public announcement area, Security centre and Operations rooms, Central store, Flood lighting of the field at minimum 500 lux, Standby power system, Standby storage of water, and pitch improvement to the same quality as the Mbombela Stadium."
SZ-2006-5#-00000181,1.0,Two bridges provide access over the river.
SZ-2006-5#-00000128,1.0,"The British were camped about  south of the Inyezane River, which they had crossed the previous day, beneath a steep ridge with three spurs leading down towards the river and surrounded by scrub."
SZ-2006-5#-00000231,1.0,The elephant reserve is now threatened by industrial development   On 18 July 2012 Macauhub News Agency reported that a public tender will be issued for selection of the company that will carry out the studies of the economic feasibility of building a deep water port an Techobanine.
SZ-2006-5#-00000153,2.0,"External links   Official website of the Blood river Vow Committee, Blood river Vow Committee In-depth description of the battle Reinterpretation of the battle From the Day of the Vow to the Day of Reconcilliation Ndlela Monument Battle of Blood River/Slag van Bloedrivier  Category:Conflicts in 1838 Category:1838 in South Africa Category:Military history of South Africa Category:Battles involving the Zulu Category:19th century in Africa Category:History of KwaZulu-Natal Category:Great Trek"
SZ-2006-5#-00000181,1.0,"Let there be work, bread, water and salt for all."
SZ-2006-5#-00000155,1.0,"Rainfall swelled the Ingogo river, making it very difficult to ford. Colley's men, meanwhile, made a desperate night march, and managed to escape, horses, guns and all, although several men drowned in the river crossing."
SZ-2006-5#-00000181,1.0,"Milk was used, instead of water, for mixing the cement from which the house was constructed, as the cement available was of poor quality."
SZ-2006-5#-00000181,2.0,"Water in the crater comes from surface springs, ground water and rain water and is rich in dissolved carbonates and sodium chlorides."
SZ-2006-5#-00000153,1.0,"Both the colours of the 2nd 24th were lost, while the Queen's colour of the 1st 24th was carried off the field by Lieutenant Melvill on horseback but lost when he crossed the river, despite Lieutenant Coghill having come to his aid. Both Melvill and Coghill were killed after crossing the river, and received posthumous Victoria Crosses in 1907 as the legend of their gallantry grew, and, after twenty-seven years of steady campaigning by the late Mrs. Melvill (who had died in 1906), on the strength of Queen Victoria being quoted as saying that 'if they had survived they would have been awarded the Victoria Cross'.Lock, p. 222. 47, 63, 75  Near the end of the battle, about 4,000 Zulu warriors of the unengaged reserve Undi impi, after cutting off the retreat of the survivors to the Buffalo River southwest of Isandlwana, crossed the river and attacked the fortified mission station at Rorke's Drift."
SZ-2006-5#-00000181,1.0,"As with Fort Schanskop, it was also supplied with electricity, a telephone and running water. Running water was supplied from a pump station in the Fountains Valley which was shared with the nearby Fort Schanskop. The moat was never filled with water. Like the other forts, it had electricity, a telephone and running water."
SZ-2006-5#-00000155,1.0,"The total station water consumption of a dry-cooled system does not exceed 0,2lkWh, compared with the 2,5lkWh consumed by wet-cooled systems. Evaporation losses in wet-cooled systems account for approximately 80% of the water requirements of a conventional wet-cooled power station. For each unit there is one cooling water system, including the cooling tower with its tuber bundle heat exchangers, three circulating pumps (units 4 to 6) two circulating pumps), one hot and one cold duct and a condenser. The circulating water cools the condensate in the condenser."
SZ-2006-5#-00000227,1.0,"Eswatini has an area of 17,363 square kilometres, of which 160 are water."
SZ-2006-5#-00000181,1.0,"The Apies River flows through the resort, and there are two natural water sources in the area."
SZ-2006-5#-00000181,1.0,"The Rust de Winter Dam is a dam located on the Elands River, Limpopo, South Africa. History It was established in 1920 and has a capacity of 28 million m3 behind a wall of 31 m. The dam is used for irrigation of farms."
SZ-2006-5#-00000181,1.0,Two bridges provide access over the river.
SZ-2006-5#-00000128,1.0,"The British were camped about  south of the Inyezane River, which they had crossed the previous day, beneath a steep ridge with three spurs leading down towards the river and surrounded by scrub."
SZ-2006-5#-00000231,1.0,The elephant reserve is now threatened by industrial development   On 18 July 2012 Macauhub News Agency reported that a public tender will be issued for selection of the company that will carry out the studies of the economic feasibility of building a deep water port an Techobanine.
SZ-2006-5#-00000153,2.0,"External links   Official website of the Blood river Vow Committee, Blood river Vow Committee In-depth description of the battle Reinterpretation of the battle From the Day of the Vow to the Day of Reconcilliation Ndlela Monument Battle of Blood River/Slag van Bloedrivier  Category:Conflicts in 1838 Category:1838 in South Africa Category:Military history of South Africa Category:Battles involving the Zulu Category:19th century in Africa Category:History of KwaZulu-Natal Category:Great Trek"
SZ-2006-5#-00000181,1.0,"Let there be work, bread, water and salt for all."
SZ-2006-5#-00000155,1.0,"Rainfall swelled the Ingogo river, making it very difficult to ford. Colley's men, meanwhile, made a desperate night march, and managed to escape, horses, guns and all, although several men drowned in the river crossing."
SZ-2006-5#-00000181,1.0,"Milk was used, instead of water, for mixing the cement from which the house was constructed, as the cement available was of poor quality."
SZ-2006-5#-00000181,2.0,"Water in the crater comes from surface springs, ground water and rain water and is rich in dissolved carbonates and sodium chlorides."
SZ-2006-5#-00000153,1.0,"Both the colours of the 2nd 24th were lost, while the Queen's colour of the 1st 24th was carried off the field by Lieutenant Melvill on horseback but lost when he crossed the river, despite Lieutenant Coghill having come to his aid. Both Melvill and Coghill were killed after crossing the river, and received posthumous Victoria Crosses in 1907 as the legend of their gallantry grew, and, after twenty-seven years of steady campaigning by the late Mrs. Melvill (who had died in 1906), on the strength of Queen Victoria being quoted as saying that 'if they had survived they would have been awarded the Victoria Cross'.Lock, p. 222. 47, 63, 75  Near the end of the battle, about 4,000 Zulu warriors of the unengaged reserve Undi impi, after cutting off the retreat of the survivors to the Buffalo River southwest of Isandlwana, crossed the river and attacked the fortified mission station at Rorke's Drift."
SZ-2006-5#-00000197,3.0,"History  The Portuguese named the river's lower reaches the Rio des Reijs, either ""river of rice"" or ""river of kings""."
SZ-2006-5#-00000127,1.0,"Once the mist lifted, the left horn of the impi was seen advancing eastwards over the river towards the British laager before disappearing into tall grass."
SZ-2006-5#-00000061,3.0,The amount of water in the river had diminished and there was a gap of several yards between river and base.
SZ-2006-5#-00000181,1.0,"Led by Major-General Horace Smith-Dorrien, the force arrived at the river on 6 November, and drove the Boers from their positions. The Boers originally planned to intercept an advancing British force at a road south of the river."
SZ-2006-5#-00000181,1.0,"The Apies River flows through the resort, and there are two natural water sources in the area."
SZ-2006-5#-00000181,1.0,"The Rust de Winter Dam is a dam located on the Elands River, Limpopo, South Africa. History It was established in 1920 and has a capacity of 28 million m3 behind a wall of 31 m. The dam is used for irrigation of farms."
SZ-2006-5#-00000140,1.0,"Amphibians include the Gray's stream frog, Angola river frog and Natal ghost frogs."
SZ-2006-5#-00000153,1.0,"On 11 January, the day after the British ultimatum to the Zulus expired, the column crossed the river and encamped on the Zulu bank. At about 4:00 pm, Surgeon James Reynolds, Otto Witt – the Swedish missionary who ran the mission at Rorke's Drift – and army chaplain Reverend George Smith came down from the Oscarberg hillside with the news that a body of Zulus was fording the river to the southeast and was ""no more than five minutes away""."
SZ-2006-5#-00000140,2.0,"thumb|right|300px|The Treur River at its confluence with the Blyde at Bourke's Luck Potholes The Treur River (from Afrikaans: mourning river) is a small river in the Drakensberg escarpment region of eastern Mpumalanga province, South Africa. In 1844, while still under the misapprehension that Hendrik Potgieter and his party had perished on their journey to Delagoa Bay, their distraught relatives named the river near their encampment, Treurrivier, or 'mourning river'."
SZ-2006-5#-00000140,1.0,"The upgrade included a construction of: Two FIFA offices at 58m², Two more player changing rooms -upgrading from two to four, Doping room, Referee dressing room, Player’s and public first aid room, Media provision complete with temporary studio and public announcement area, Security centre and Operations rooms, Central store, Flood lighting of the field at minimum 500 lux, Standby power system, Standby storage of water, and pitch improvement to the same quality as the Mbombela Stadium."
SZ-2006-5#-00000181,1.0,"As with Fort Schanskop, it was also supplied with electricity, a telephone and running water. Running water was supplied from a pump station in the Fountains Valley which was shared with the nearby Fort Schanskop. The moat was never filled with water. Like the other forts, it had electricity, a telephone and running water."
SZ-2006-5#-00000112,1.0,"Dismissing the intelligence report as exaggerated, he led three companies on a reconnaissance across the river."
SZ-2006-5#-00000070,1.0,"With a following of 1,500 Zulus who deserted from Dingane, they crossed the Tugela river near its mouth and proceeded to uMgungundlovu. The above coordinates for his demise are also incorrect as Bantjes writes, ""Not daring to continue firing for fear that their ammunition would run out, they retreated to a very exposed spot where the river dammed up (on the Mkumbane River ca.4.5 km."
SZ-2006-5#-00000197,3.0,"In 2015, the water levels at the dam were at a record low, and on 20 February 2016, the water storage level was measured at 31%."
SZ-2006-5#-00000153,1.0,"On 11 January, the day after the British ultimatum to the Zulus expired, the column crossed the river and encamped on the Zulu bank. At about 4:00 pm, Surgeon James Reynolds, Otto Witt – the Swedish missionary who ran the mission at Rorke's Drift – and army chaplain Reverend George Smith came down from the Oscarberg hillside with the news that a body of Zulus was fording the river to the southeast and was ""no more than five minutes away""."
SZ-2006-5#-00000140,2.0,"thumb|right|300px|The Treur River at its confluence with the Blyde at Bourke's Luck Potholes The Treur River (from Afrikaans: mourning river) is a small river in the Drakensberg escarpment region of eastern Mpumalanga province, South Africa. In 1844, while still under the misapprehension that Hendrik Potgieter and his party had perished on their journey to Delagoa Bay, their distraught relatives named the river near their encampment, Treurrivier, or 'mourning river'."
SZ-2006-5#-00000181,1.0,Two bridges provide access over the river.
SZ-2006-5#-00000128,1.0,"The British were camped about  south of the Inyezane River, which they had crossed the previous day, beneath a steep ridge with three spurs leading down towards the river and surrounded by scrub."
SZ-2006-5#-00000231,1.0,The elephant reserve is now threatened by industrial development   On 18 July 2012 Macauhub News Agency reported that a public tender will be issued for selection of the company that will carry out the studies of the economic feasibility of building a deep water port an Techobanine.
SZ-2006-5#-00000153,2.0,"External links   Official website of the Blood river Vow Committee, Blood river Vow Committee In-depth description of the battle Reinterpretation of the battle From the Day of the Vow to the Day of Reconcilliation Ndlela Monument Battle of Blood River/Slag van Bloedrivier  Category:Conflicts in 1838 Category:1838 in South Africa Category:Military history of South Africa Category:Battles involving the Zulu Category:19th century in Africa Category:History of KwaZulu-Natal Category:Great Trek"
SZ-2006-5#-00000181,1.0,"Let there be work, bread, water and salt for all."
SZ-2006-5#-00000155,1.0,"Rainfall swelled the Ingogo river, making it very difficult to ford. Colley's men, meanwhile, made a desperate night march, and managed to escape, horses, guns and all, although several men drowned in the river crossing."
SZ-2006-5#-00000181,1.0,"Milk was used, instead of water, for mixing the cement from which the house was constructed, as the cement available was of poor quality."
SZ-2006-5#-00000181,2.0,"Water in the crater comes from surface springs, ground water and rain water and is rich in dissolved carbonates and sodium chlorides."
SZ-2006-5#-00000153,1.0,"Both the colours of the 2nd 24th were lost, while the Queen's colour of the 1st 24th was carried off the field by Lieutenant Melvill on horseback but lost when he crossed the river, despite Lieutenant Coghill having come to his aid. Both Melvill and Coghill were killed after crossing the river, and received posthumous Victoria Crosses in 1907 as the legend of their gallantry grew, and, after twenty-seven years of steady campaigning by the late Mrs. Melvill (who had died in 1906), on the strength of Queen Victoria being quoted as saying that 'if they had survived they would have been awarded the Victoria Cross'.Lock, p. 222. 47, 63, 75  Near the end of the battle, about 4,000 Zulu warriors of the unengaged reserve Undi impi, after cutting off the retreat of the survivors to the Buffalo River southwest of Isandlwana, crossed the river and attacked the fortified mission station at Rorke's Drift."
SZ-2006-5#-00000197,3.0,"History  The Portuguese named the river's lower reaches the Rio des Reijs, either ""river of rice"" or ""river of kings""."
SZ-2006-5#-00000127,1.0,"Once the mist lifted, the left horn of the impi was seen advancing eastwards over the river towards the British laager before disappearing into tall grass."
SZ-2006-5#-00000061,3.0,The amount of water in the river had diminished and there was a gap of several yards between river and base.
SZ-2006-5#-00000181,1.0,"As with Fort Schanskop, it was also supplied with electricity, a telephone and running water. Running water was supplied from a pump station in the Fountains Valley which was shared with the nearby Fort Schanskop. The moat was never filled with water. Like the other forts, it had electricity, a telephone and running water."
SZ-2006-5#-00000155,1.0,"The total station water consumption of a dry-cooled system does not exceed 0,2lkWh, compared with the 2,5lkWh consumed by wet-cooled systems. Evaporation losses in wet-cooled systems account for approximately 80% of the water requirements of a conventional wet-cooled power station. For each unit there is one cooling water system, including the cooling tower with its tuber bundle heat exchangers, three circulating pumps (units 4 to 6) two circulating pumps), one hot and one cold duct and a condenser. The circulating water cools the condensate in the condenser."
SZ-2006-5#-00000227,1.0,"Eswatini has an area of 17,363 square kilometres, of which 160 are water."
SZ-2006-5#-00000181,1.0,"The Apies River flows through the resort, and there are two natural water sources in the area."
SZ-2006-5#-00000181,1.0,"The Rust de Winter Dam is a dam located on the Elands River, Limpopo, South Africa. History It was established in 1920 and has a capacity of 28 million m3 behind a wall of 31 m. The dam is used for irrigation of farms."
SZ-2006-5#-00000181,1.0,"The Apies River flows through the resort, and there are two natural water sources in the area."
SZ-2006-5#-00000181,1.0,"The Rust de Winter Dam is a dam located on the Elands River, Limpopo, South Africa. History It was established in 1920 and has a capacity of 28 million m3 behind a wall of 31 m. The dam is used for irrigation of farms."
SZ-2006-5#-00000181,1.0,"As with Fort Schanskop, it was also supplied with electricity, a telephone and running water. Running water was supplied from a pump station in the Fountains Valley which was shared with the nearby Fort Schanskop. The moat was never filled with water. Like the other forts, it had electricity, a telephone and running water."
SZ-2006-5#-00000181,1.0,Two bridges provide access over the river.
SZ-2006-5#-00000128,1.0,"The British were camped about  south of the Inyezane River, which they had crossed the previous day, beneath a steep ridge with three spurs leading down towards the river and surrounded by scrub."
SZ-2006-5#-00000231,1.0,The elephant reserve is now threatened by industrial development   On 18 July 2012 Macauhub News Agency reported that a public tender will be issued for selection of the company that will carry out the studies of the economic feasibility of building a deep water port an Techobanine.
SZ-2006-5#-00000153,2.0,"External links   Official website of the Blood river Vow Committee, Blood river Vow Committee In-depth description of the battle Reinterpretation of the battle From the Day of the Vow to the Day of Reconcilliation Ndlela Monument Battle of Blood River/Slag van Bloedrivier  Category:Conflicts in 1838 Category:1838 in South Africa Category:Military history of South Africa Category:Battles involving the Zulu Category:19th century in Africa Category:History of KwaZulu-Natal Category:Great Trek"
SZ-2006-5#-00000181,1.0,"Let there be work, bread, water and salt for all."
SZ-2006-5#-00000155,1.0,"Rainfall swelled the Ingogo river, making it very difficult to ford. Colley's men, meanwhile, made a desperate night march, and managed to escape, horses, guns and all, although several men drowned in the river crossing."
SZ-2006-5#-00000181,1.0,"Milk was used, instead of water, for mixing the cement from which the house was constructed, as the cement available was of poor quality."
SZ-2006-5#-00000181,2.0,"Water in the crater comes from surface springs, ground water and rain water and is rich in dissolved carbonates and sodium chlorides."
SZ-2006-5#-00000153,1.0,"Both the colours of the 2nd 24th were lost, while the Queen's colour of the 1st 24th was carried off the field by Lieutenant Melvill on horseback but lost when he crossed the river, despite Lieutenant Coghill having come to his aid. Both Melvill and Coghill were killed after crossing the river, and received posthumous Victoria Crosses in 1907 as the legend of their gallantry grew, and, after twenty-seven years of steady campaigning by the late Mrs. Melvill (who had died in 1906), on the strength of Queen Victoria being quoted as saying that 'if they had survived they would have been awarded the Victoria Cross'.Lock, p. 222. 47, 63, 75  Near the end of the battle, about 4,000 Zulu warriors of the unengaged reserve Undi impi, after cutting off the retreat of the survivors to the Buffalo River southwest of Isandlwana, crossed the river and attacked the fortified mission station at Rorke's Drift."
SZ-2006-5#-00000197,3.0,"History  The Portuguese named the river's lower reaches the Rio des Reijs, either ""river of rice"" or ""river of kings""."
SZ-2006-5#-00000153,1.0,"On 11 January, the day after the British ultimatum to the Zulus expired, the column crossed the river and encamped on the Zulu bank. At about 4:00 pm, Surgeon James Reynolds, Otto Witt – the Swedish missionary who ran the mission at Rorke's Drift – and army chaplain Reverend George Smith came down from the Oscarberg hillside with the news that a body of Zulus was fording the river to the southeast and was ""no more than five minutes away""."
SZ-2006-5#-00000140,2.0,"thumb|right|300px|The Treur River at its confluence with the Blyde at Bourke's Luck Potholes The Treur River (from Afrikaans: mourning river) is a small river in the Drakensberg escarpment region of eastern Mpumalanga province, South Africa. In 1844, while still under the misapprehension that Hendrik Potgieter and his party had perished on their journey to Delagoa Bay, their distraught relatives named the river near their encampment, Treurrivier, or 'mourning river'."
SZ-2006-5#-00000181,1.0,"As with Fort Schanskop, it was also supplied with electricity, a telephone and running water. Running water was supplied from a pump station in the Fountains Valley which was shared with the nearby Fort Schanskop. The moat was never filled with water. Like the other forts, it had electricity, a telephone and running water."
SZ-2006-5#-00000112,1.0,"Dismissing the intelligence report as exaggerated, he led three companies on a reconnaissance across the river."
SZ-2006-5#-00000070,1.0,"With a following of 1,500 Zulus who deserted from Dingane, they crossed the Tugela river near its mouth and proceeded to uMgungundlovu. The above coordinates for his demise are also incorrect as Bantjes writes, ""Not daring to continue firing for fear that their ammunition would run out, they retreated to a very exposed spot where the river dammed up (on the Mkumbane River ca.4.5 km."
SZ-2006-5#-00000197,3.0,"In 2015, the water levels at the dam were at a record low, and on 20 February 2016, the water storage level was measured at 31%."
SZ-2006-5#-00000153,1.0,"On 11 January, the day after the British ultimatum to the Zulus expired, the column crossed the river and encamped on the Zulu bank. At about 4:00 pm, Surgeon James Reynolds, Otto Witt – the Swedish missionary who ran the mission at Rorke's Drift – and army chaplain Reverend George Smith came down from the Oscarberg hillside with the news that a body of Zulus was fording the river to the southeast and was ""no more than five minutes away""."
SZ-2006-5#-00000140,2.0,"thumb|right|300px|The Treur River at its confluence with the Blyde at Bourke's Luck Potholes The Treur River (from Afrikaans: mourning river) is a small river in the Drakensberg escarpment region of eastern Mpumalanga province, South Africa. In 1844, while still under the misapprehension that Hendrik Potgieter and his party had perished on their journey to Delagoa Bay, their distraught relatives named the river near their encampment, Treurrivier, or 'mourning river'."
SZ-2006-5#-00000140,1.0,"The upgrade included a construction of: Two FIFA offices at 58m², Two more player changing rooms -upgrading from two to four, Doping room, Referee dressing room, Player’s and public first aid room, Media provision complete with temporary studio and public announcement area, Security centre and Operations rooms, Central store, Flood lighting of the field at minimum 500 lux, Standby power system, Standby storage of water, and pitch improvement to the same quality as the Mbombela Stadium."
SZ-2006-5#-00000079,2.0,"The flagship dam in the Olifants system, South Africa's largest dam since the 1970s, was developed by the Department of Water Affairs."
SZ-2006-5#-00000153,1.0,"On 11 January, the day after the British ultimatum to the Zulus expired, the column crossed the river and encamped on the Zulu bank. At about 4:00 pm, Surgeon James Reynolds, Otto Witt – the Swedish missionary who ran the mission at Rorke's Drift – and army chaplain Reverend George Smith came down from the Oscarberg hillside with the news that a body of Zulus was fording the river to the southeast and was ""no more than five minutes away""."
SZ-2006-5#-00000140,2.0,"thumb|right|300px|The Treur River at its confluence with the Blyde at Bourke's Luck Potholes The Treur River (from Afrikaans: mourning river) is a small river in the Drakensberg escarpment region of eastern Mpumalanga province, South Africa. In 1844, while still under the misapprehension that Hendrik Potgieter and his party had perished on their journey to Delagoa Bay, their distraught relatives named the river near their encampment, Treurrivier, or 'mourning river'."
SZ-2006-5#-00000155,2.0,"During 2019 the municipality's main water treatment plant in Standerton was in disrepair and was causing pollution of the upper Vaal River. Some areas had been without water for months or years, while others received dirty water."
SZ-2006-5#-00000162,1.0,"Driekoppies Dam is a gravity/earth-fill type dam on the Lomati River, near Malelane, Mpumalanga, South Africa."
SZ-2006-5#-00000079,2.0,"Flag Boshielo Dam is a water reservoir on the Olifants River, near Marble Hall, Limpopo, South Africa."
SZ-2006-5#-00000128,1.0,Goedertrouw Dam is an earth-filled dam in South Africa. It currently has a capacity of 301 million m3 and is principally for provision of water to the industrial complex at Richards Bay. It serves also as reservoir for irrigation and domestic use. The hazard potential of the dam has been ranked high (3).
SZ-2006-5#-00000155,2.0,"The dam was completed in 1982 and was built primarily to support the water needs of the SASOL I, II and III coal to petrol plants at Secunda, Eskom's Tutuka Power Station as well as the Matla Power Station, Duvha Power Station, Kendal Power Station and Kriel Power Station located on the coal fields in the adjacent Olifants River basin. During the serious drought of 1983, the water resources in the adjacent Komati River and Usutu River basins were badly depleted, leading to serious concerns that the water supplies to various power stations could be affected. Any water shortages to the power stations would be disastrous for South Africa since 80% of the country's electricity is dependent on water from the Komati-Usutu-Vaal system."
SZ-2006-5#-00000155,1.0,"Heyshope Dam is a zoned earth-fill type dam located on the Assegaai River, Mpumalanga, South Africa. The hazard potential of the dam construction has been ranked high (3)."
SZ-2006-5#-00000268,2.0,"The scheme stretches 64 km to the north of this town, including 148 km on 2 main pipes and 330 km of branch lines irrigating 19,000 ha; 250 km of drainage canals return excess water from farm to river."
SZ-2006-5#-00000181,1.0,Nooitgedacht Dam is an earth-fill type dam located on the Komati River in South Africa. The hazard potential of the dam has been ranked high (3).
SZ-2006-5#-00000140,1.0,"Ohrigstad Dam is a rockfill type dam located close to Ohrigstad in Mpumalanga, South Africa. The hazard potential of the dam has been ranked high (3)."
SZ-2006-5#-00000185,3.0,The Pongola Rivers major form of pollution is agricultural pesticides which make their way into the river due to the heavy use of land for agriculture above the dam.
SZ-2006-5#-00000268,2.0,"It is located on the Elands River, part of the Olifants River basin.Olifants WMA 4 The dam was established in 1984.List of South African Dams from the Department of Water Affairs  The dam mainly serves for municipal and industrial use and its hazard potential has been ranked high (3)."
SZ-2006-5#-00000181,1.0,Witbank Dam is a buttress type dam located on the Olifants River in South Africa. It was established in 1971 and serves mainly for municipal and industrial water supply purposes. The hazard potential of the dam has been ranked high (3).
SZ-2006-5#-00000155,2.0,The dam serves primarily for municipal and industrial water supply purposes.
SZ-2006-5#-00000140,1.0,"Da Gama Dam, is an earthfill/gravity-type dam on the Witwaters River, near White River, Mpumalanga, South Africa."
SZ-2006-5#-00000140,1.0,"Injaka Dam, also spelled Inyaka Dam is an earth-fill type dam located on the Ngwaritsane River, near Bushbuckridge, Mpumalanga, South Africa. It was established in 2001 and its primary purpose is to store water for irrigation use. The hazard potential of the dam has been ranked as high (3)."
SZ-2006-5#-00000155,1.0,"Jericho Dam is a combined concrete gravity and earth-fill type dam located on the Mpama River, near Amsterdam, Mpumalanga, South Africa."
SZ-2006-5#-00000140,1.0,"Klipkopjes Dam is an earth-fill type dam located on the White River, near the town of White River, Mpumalanga, South Africa. The hazard potential of the dam has been ranked high (3)."
SZ-2006-5#-00000181,1.0,"thumb|left|Shores of Klipvoor Dam Klipvoor Dam is a concrete gravity type dam located on the Moretele River, 55 km north of Brits, North West, South Africa. It was established in 1970.List of South African Dams from the Department of Water Affairs The main purpose of the dam is to serve for irrigation and its hazard potential has been ranked as high (3). The Klipvoor Dam is one of the good fishing spots of the Borakalalo Game Reserve, located north of the dam."
SZ-2006-5#-00000181,1.0,"Kromfonteinlower (Wilge) Cofferdam is a rockfill type dam located on the Steenkool Spruit, near Witbank, Mpumalanga, South Africa. It was established in 1992 and its primary purpose is to serve for river diversion. The hazard potential of the dam has been ranked significant (2)."
SZ-2006-5#-00000181,1.0,"Kromfontein Middle Cofferdam is an earthfill type dam located on the Steenkool Spruit, near Witbank, Mpumalanga, South Africa. It was established in 1990 and serves primarily for flood storage (retention) and river diversion. The hazard potential of the dam has been ranked significant (2)."
SZ-2006-5#-00000008,1.0,There were slower rates of change during the later Pleistocene and a total absence of seepage water through the walls.
SZ-2006-5#-00000185,1.0,"Lake Mzingazi Dam is a dam on the Mzingazi River, near Richards Bay, KwaZulu-Natal, South Africa."
SZ-2006-5#-00000181,2.0,Construction was completed in 1978.List of South African Dams from the Department of Water Affairs and Forestry (South Africa) The primary purpose of the dam is to serve for water supply and its hazard potential has been ranked high (3).
SZ-2006-5#-00000155,1.0,"Morgenstond Dam is an earth-fill type dam located on the Ngwempisi River, near Amsterdam, Mpumalanga, South Africa."
SZ-2006-5#-00000181,1.0,"As with Fort Schanskop, it was also supplied with electricity, a telephone and running water. Running water was supplied from a pump station in the Fountains Valley which was shared with the nearby Fort Schanskop. The moat was never filled with water. Like the other forts, it had electricity, a telephone and running water."
SZ-2006-5#-00000155,1.0,"The total station water consumption of a dry-cooled system does not exceed 0,2lkWh, compared with the 2,5lkWh consumed by wet-cooled systems. Evaporation losses in wet-cooled systems account for approximately 80% of the water requirements of a conventional wet-cooled power station. For each unit there is one cooling water system, including the cooling tower with its tuber bundle heat exchangers, three circulating pumps (units 4 to 6) two circulating pumps), one hot and one cold duct and a condenser. The circulating water cools the condensate in the condenser."
SZ-2006-5#-00000227,1.0,"Eswatini has an area of 17,363 square kilometres, of which 160 are water."
SZ-2006-5#-00000185,1.0,"In 2009, Sister Cities International launched the Africa Urban Poverty Alleviation Program, a three-year project to alleviate poverty in 25 African cities (including King Cetshwayo District) through water, sanitation and health initiatives."
SZ-2006-5#-00000185,1.0,"It contains many areas of outstanding natural beauty such as the St Lucia greater wetland park, Sodwana Bay and Kosi Bay. “Deprivation” is defined as a combination of indicators including unemployment rates, access to piped water and electricity, female-headed households with high numbers of children and low education levels, according to the Health Systems Trust which produces the Barometer."
SZ-2006-5#-00000079,1.0,"Their formation was caused when natural acid in the groundwater seeped through the faults and joints of the Precambrian dolomite rock. The Boers continued to side with Somquba, in return for labour to dig the first water canal at Lydenburg. They stock-piled food and there was plenty of water, so it made a strong refuge."
SZ-2006-5#-00000181,1.0,"The Apies River flows through the resort, and there are two natural water sources in the area."
SZ-2006-5#-00000048,1.0,"Sand River Dam is an artificial reservoir found in the Lubombo District in Eswatini. Covering an area of 768 hectares, it is an important site for waterfowl and other waterbirds, and has been recognised as a wetland of international importance under the Ramsar Convention."
SZ-2006-5#-00000189,1.0,"Van Eck Dam is an artificial reservoir within the Mhlosinga Nature Reserve, near Big Bend in the Lubombo District of Eswatini. It has been recognised as a wetland of international importance under the Ramsar Convention."
SZ-2006-5#-00000153,1.0,Subsequent deaths after the methane explosion were caused by coal dust igniting that had not been watered down due to insufficient water supply and the non-fireproof  brattice cloth.
SZ-2006-5#-00000048,1.0,"Sand River Dam is an artificial reservoir found in the Lubombo District in Eswatini. Covering an area of 768 hectares, it is an important site for waterfowl and other waterbirds, and has been recognised as a wetland of international importance under the Ramsar Convention."
SZ-2006-5#-00000189,1.0,"Van Eck Dam is an artificial reservoir within the Mhlosinga Nature Reserve, near Big Bend in the Lubombo District of Eswatini. It has been recognised as a wetland of international importance under the Ramsar Convention."
SZ-2006-5#-00000153,1.0,Subsequent deaths after the methane explosion were caused by coal dust igniting that had not been watered down due to insufficient water supply and the non-fireproof  brattice cloth.
SZ-2006-5#-00000181,1.0,"The park is surrounded by high trees, and the aforementioned creek has a dam featuring a statue of Peter Pan in the middle."
SZ-2006-5#-00000079,1.0,The power station will use bio-waste from the adjacent wood and paper mill to boil water and produce steam.
SZ-2006-5#-00000181,1.0,"The Apies River flows through the resort, and there are two natural water sources in the area."
SZ-2006-5#-00000155,1.0,"The total station water consumption of a dry-cooled system does not exceed 0,2lkWh, compared with the 2,5lkWh consumed by wet-cooled systems. Evaporation losses in wet-cooled systems account for approximately 80% of the water requirements of a conventional wet-cooled power station. For each unit there is one cooling water system, including the cooling tower with its tuber bundle heat exchangers, three circulating pumps (units 4 to 6) two circulating pumps), one hot and one cold duct and a condenser. The circulating water cools the condensate in the condenser."
SZ-2006-5#-00000227,1.0,"Eswatini has an area of 17,363 square kilometres, of which 160 are water."
SZ-2006-5#-00000185,1.0,"In 2009, Sister Cities International launched the Africa Urban Poverty Alleviation Program, a three-year project to alleviate poverty in 25 African cities (including King Cetshwayo District) through water, sanitation and health initiatives."
SZ-2006-5#-00000185,1.0,"It contains many areas of outstanding natural beauty such as the St Lucia greater wetland park, Sodwana Bay and Kosi Bay. “Deprivation” is defined as a combination of indicators including unemployment rates, access to piped water and electricity, female-headed households with high numbers of children and low education levels, according to the Health Systems Trust which produces the Barometer."
SZ-2006-5#-00000079,1.0,"Their formation was caused when natural acid in the groundwater seeped through the faults and joints of the Precambrian dolomite rock. The Boers continued to side with Somquba, in return for labour to dig the first water canal at Lydenburg. They stock-piled food and there was plenty of water, so it made a strong refuge."
SZ-2006-5#-00000048,1.0,"Sand River Dam is an artificial reservoir found in the Lubombo District in Eswatini. Covering an area of 768 hectares, it is an important site for waterfowl and other waterbirds, and has been recognised as a wetland of international importance under the Ramsar Convention."
