DHSID_EA,relevance_score,most_relevant_sentences
MD-2013-6Z-00000258,1.0,"The baobab trees, known locally as renala (Malagasy for ""mother of the forest""), are up to 2,800 years old. Baobabs found themselves after an impossible love between a young man and young woman of the nearby village. However, the impossible couple dreamed of a life and child together and asked the help of their god."
MD-2016-7#-00000148,2.0,"The university campus is located in Barikadimy west of the city of Toamasina, the capital of Atsinanana on the east side of Madagascar."
MD-2008-5#-00000367,2.0,In addition to primary schooling the town offers secondary education at both junior and senior levels.
MD-2013-6Z-00000038,3.0,Education  In Miarinarivo are situated:ny-hary.de 6 primary schools with  2000 pupils 4 secondary schools with 1400 pupils 4 Lycée with 900 students  Sports The local soccer club CNaPS Sport had been several times Malagasy champions.
MD-2008-5#-00000458,2.0,", the diocese included 200 primary schools, seven secondary schools, and seven missionary hospitals."
MD-1997-3#-00000008,1.0,"According to this document, the primary goal of the newly renamed Democratic Republic of Madagascar was to build a ""new society"" founded on socialist principles and guided by the actions of the ""five pillars of the revolution"": the Supreme Revolutionary Council (SRC), peasants and workers, young intellectuals, women and the Popular Armed Forces. The government responded, sending in the armed forces to maintain order during student riots in May 1978."
MD-2016-7#-00000078,1.0,"Vohimarina Lamosina is classified in "" ZONES DE CONSERVATIONS NATURELLES"" (=AREAS OF NATURAL CONSERVATION) that is filed under ""RELIQUE DE FORET NATURELLE SERVANT D'HABITAT A DES LEMURIENS"" (translated: REMAINING OF NATURAL FOREST USED BY LEMURS AS HABITAT)  Primary and junior level secondary education are available at Vohimarina."
MD-2011-6#-00000053,1.0,Only primary schooling is available.
MD-1997-3#-00000111,1.0,Primary and junior level secondary education are available in town.
MD-2008-5#-00000085,1.0,Only primary schooling is available.
MD-2011-6#-00000067,1.0,Primary and junior level secondary education are available in town.
MD-2016-7#-00000026,2.0,"More than 20,000 homes were destroyed, as well as 413 public buildings and 3,400 schools were damaged, including 1,400 schools completely destroyed."
MD-1997-3#-00000008,4.0,"In 1881, he reinstated mandatory universal education first introduced in 1820 under Radama I, requiring the construction of numerous schools and colleges, including teacher training colleges staffed by missionaries and the nation's first pharmacy, medical college, and modern hospital."
MD-1997-3#-00000008,1.0,"The negative economic impact of the political crisis was gradually overcome by Ravalomanana's progressive economic and political policies, which encouraged investments in education and ecotourism, facilitated foreign direct investment, and cultivated trading partnerships both regionally and internationally."
MD-2008-5#-00000010,1.0,"On November 1989, the WWF celebrated its tenth year in Madagascar by opening an environmental teaching center at the zoo."
MD-2008-5#-00000564,1.0,There are several primary schools and very limited access to healthcare services.
MD-2016-7#-00000026,2.0,"More than 20,000 homes were destroyed, as well as 413 public buildings and 3,400 schools were damaged, including 1,400 schools completely destroyed."
MD-1997-3#-00000008,4.0,"In 1881, he reinstated mandatory universal education first introduced in 1820 under Radama I, requiring the construction of numerous schools and colleges, including teacher training colleges staffed by missionaries and the nation's first pharmacy, medical college, and modern hospital."
MD-2016-7#-00000148,1.0,"A regional centre for distance education (CRTE) of the Centre National de Télé-Enseignement de Madagascar (CNETMAD) is also located in Toamasina. Lycée Français de Tamatave, a French international school, is in Toamasina."
MD-2011-6#-00000163,2.0,"party, which had become a left-wing opposition movement, gained the support of Tananarive's university students and urban radicals who, though MO.NI.MA."
MD-2013-6Z-00000258,1.0,"The baobab trees, known locally as renala (Malagasy for ""mother of the forest""), are up to 2,800 years old. Baobabs found themselves after an impossible love between a young man and young woman of the nearby village. However, the impossible couple dreamed of a life and child together and asked the help of their god."
MD-2016-7#-00000148,2.0,"The university campus is located in Barikadimy west of the city of Toamasina, the capital of Atsinanana on the east side of Madagascar."
MD-2008-5#-00000367,2.0,In addition to primary schooling the town offers secondary education at both junior and senior levels.
MD-1997-3#-00000008,4.0,"A general strike involving the nation's roughly 100,000 secondary-level students focused on three principal issues: ending the cultural cooperation agreements with France; replacing educational programs designed for schools in France and taught by French teachers with programs emphasizing Malagasy life and culture and taught by Malagasy instructors; and increasing access for economically underprivileged youth to secondary-level institutions."
MD-1997-3#-00000040,9.0,"Education policy in Ravalomanana's second term focused on quality issues, including an increase in minimum education standards for the recruitment of primary teachers from a middle school leaving certificate (BEPC) to a high school leaving certificate (BAC), and a reformed teacher training program to support the transition from traditional didactic instruction to student-centered teaching methods to boost student learning and participation in the classroom."
MD-2011-6#-00000085,1.0,Education A regional centre for distance education (CRTE) of the Centre National de Télé-Enseignement de Madagascar (CNETMAD) is located in Farafangana.
MD-2016-7#-00000078,1.0,"Vohimarina Lamosina is classified in "" ZONES DE CONSERVATIONS NATURELLES"" (=AREAS OF NATURAL CONSERVATION) that is filed under ""RELIQUE DE FORET NATURELLE SERVANT D'HABITAT A DES LEMURIENS"" (translated: REMAINING OF NATURAL FOREST USED BY LEMURS AS HABITAT)  Primary and junior level secondary education are available at Vohimarina."
MD-2008-5#-00000570,2.0,"It is served by the local Ampampamena Airport and small, local, maritime harbour at Ankify that is the gate to the islands of Nosy Be and Nosy Komba  Education In addition to primary schooling the town offers secondary education at both junior and senior levels."
MD-2016-7#-00000116,1.0,FJKM - Fiangonan'i Jesoa Kristy eto Madagasikara (Church of Jesus Christ in Madagascar)  FLM - Fiangonana Loterana Malagasy (Malagasy Lutheran Church)  EEM Eklesia Episkopaly Malagasy (Anglican Church of Madagascar)  Education A regional centre for distance education (CRTE) of the Centre National de Télé-Enseignement de Madagascar (CNETMAD) is located in Ihosy.
MD-2016-7#-00000078,1.0,Primary and junior level secondary education are available at Lamosima.
MD-1997-3#-00000065,4.0,"Between December 2008 and May 2013, approximately 37,163 students and 1,270 teachers from the public primary schools around Antananarivo have helped plant 170 native trees and participated in environmental education at Lemurs' Park."
MD-1997-3#-00000008,1.0,Superior armed strength and educational and cultural advantages had given the Merina a dominant influence on the political process during much of the country's history.
MD-1997-3#-00000008,4.0,"A general strike involving the nation's roughly 100,000 secondary-level students focused on three principal issues: ending the cultural cooperation agreements with France; replacing educational programs designed for schools in France and taught by French teachers with programs emphasizing Malagasy life and culture and taught by Malagasy instructors; and increasing access for economically underprivileged youth to secondary-level institutions."
MD-1997-3#-00000040,9.0,"Education policy in Ravalomanana's second term focused on quality issues, including an increase in minimum education standards for the recruitment of primary teachers from a middle school leaving certificate (BEPC) to a high school leaving certificate (BAC), and a reformed teacher training program to support the transition from traditional didactic instruction to student-centered teaching methods to boost student learning and participation in the classroom."
MD-2011-6#-00000085,1.0,Education A regional centre for distance education (CRTE) of the Centre National de Télé-Enseignement de Madagascar (CNETMAD) is located in Farafangana.
MD-2016-7#-00000078,1.0,"Vohimarina Lamosina is classified in "" ZONES DE CONSERVATIONS NATURELLES"" (=AREAS OF NATURAL CONSERVATION) that is filed under ""RELIQUE DE FORET NATURELLE SERVANT D'HABITAT A DES LEMURIENS"" (translated: REMAINING OF NATURAL FOREST USED BY LEMURS AS HABITAT)  Primary and junior level secondary education are available at Vohimarina."
MD-2008-5#-00000570,2.0,"It is served by the local Ampampamena Airport and small, local, maritime harbour at Ankify that is the gate to the islands of Nosy Be and Nosy Komba  Education In addition to primary schooling the town offers secondary education at both junior and senior levels."
MD-2016-7#-00000116,1.0,FJKM - Fiangonan'i Jesoa Kristy eto Madagasikara (Church of Jesus Christ in Madagascar)  FLM - Fiangonana Loterana Malagasy (Malagasy Lutheran Church)  EEM Eklesia Episkopaly Malagasy (Anglican Church of Madagascar)  Education A regional centre for distance education (CRTE) of the Centre National de Télé-Enseignement de Madagascar (CNETMAD) is located in Ihosy.
MD-2011-6#-00000163,2.0,"party, which had become a left-wing opposition movement, gained the support of Tananarive's university students and urban radicals who, though MO.NI.MA."
MD-2013-6Z-00000258,1.0,"The baobab trees, known locally as renala (Malagasy for ""mother of the forest""), are up to 2,800 years old. Baobabs found themselves after an impossible love between a young man and young woman of the nearby village. However, the impossible couple dreamed of a life and child together and asked the help of their god."
MD-2016-7#-00000026,2.0,"More than 20,000 homes were destroyed, as well as 413 public buildings and 3,400 schools were damaged, including 1,400 schools completely destroyed."
MD-1997-3#-00000008,4.0,"In 1881, he reinstated mandatory universal education first introduced in 1820 under Radama I, requiring the construction of numerous schools and colleges, including teacher training colleges staffed by missionaries and the nation's first pharmacy, medical college, and modern hospital."
